"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.019761208E0	-8.044891655E-2	5.815640688E-3	1.663298965E-1	1.848553064E-1
1.029736208E0	-8.092283338E-2	5.433115840E-2	7.966071188E-2	1.258817253E-1
1.039710208E0	-4.651782562E-2	9.295961916E-2	1.266516047E-3	1.039567360E-1
1.049685208E0	-1.087990503E-2	1.020830297E-1	-3.224272569E-2	1.076053468E-1
1.059660208E0	-4.495368630E-2	4.968028307E-2	-3.551131010E-2	7.582887038E-2
1.069635208E0	-6.642408659E-2	1.898941755E-2	8.358019190E-3	6.958889094E-2
1.079610208E0	-2.985969295E-2	-1.169560075E-2	8.889405926E-2	9.450154555E-2
1.089584208E0	7.048818469E-4	-7.215464115E-2	1.056831604E-1	1.279676502E-1
1.099559208E0	5.848853786E-2	-6.434685409E-2	7.742122829E-2	1.164279747E-1
1.109534208E0	1.203549939E-1	-8.652709723E-3	1.887539685E-2	1.221330199E-1
1.119509208E0	1.152351719E-1	3.744206071E-2	-6.942340672E-2	1.396447713E-1
1.129483208E0	5.517052621E-2	4.789395869E-2	-1.293830949E-1	1.485853408E-1
1.139458208E0	-2.660452972E-2	6.990931034E-3	-1.477959861E-1	1.503340535E-1
1.149433208E0	-1.295526642E-1	-6.818438172E-2	-5.692089478E-2	1.570763858E-1
1.159408208E0	-1.886270839E-1	-1.442426240E-1	1.060182150E-1	2.600499438E-1
1.169382208E0	-2.342985159E-1	-1.650470173E-1	2.880700958E-1	4.063504554E-1
1.179357208E0	-2.150383723E-1	-1.229681146E-1	3.462241638E-1	4.257156684E-1
1.189332208E0	-7.554427207E-2	-8.656802773E-2	3.132704258E-1	3.336754713E-1
1.199307208E0	2.470302433E-2	-5.794824600E-2	2.036158365E-1	2.131376257E-1
1.209281208E0	7.454674621E-2	4.970718026E-2	1.137048642E-2	9.031782272E-2
1.219256208E0	3.703188310E-2	7.382752955E-2	-1.844685441E-1	2.021150867E-1
1.229231208E0	-2.469513059E-2	2.787484646E-2	-2.421519113E-1	2.449987850E-1
1.239206208E0	-7.782059312E-2	-7.159330845E-3	-1.515422972E-1	1.705062127E-1
1.249180208E0	-9.553034753E-2	-3.664099216E-2	4.625205140E-2	1.122847357E-1
1.259155208E0	-9.868521273E-2	-7.164768755E-2	1.513580916E-1	1.943744691E-1
1.269130208E0	-1.174059416E-1	-1.139791900E-1	1.651113367E-1	2.324589520E-1
1.279105208E0	-7.947974056E-2	-1.666298586E-1	1.274271921E-1	2.243217070E-1
1.289080208E0	2.353942841E-2	-1.408442223E-1	5.341197610E-2	1.524599581E-1
1.299054208E0	4.427013308E-2	-1.147703183E-1	-5.236412765E-2	1.336939509E-1
1.309029208E0	5.179054777E-2	-8.676157057E-2	-1.194796749E-1	1.564775501E-1
1.319004208E0	1.106360444E-1	3.529964089E-3	-5.412885387E-2	1.232182121E-1
1.328979208E0	1.271816182E-1	2.858352900E-2	3.201935291E-3	1.303933838E-1
1.338953208E0	9.123088072E-2	3.359927058E-2	4.714611808E-2	1.080497156E-1
1.348928208E0	5.002147267E-2	3.698071539E-2	1.576525371E-2	6.417370383E-2
1.358903208E0	6.744671892E-4	4.351088583E-2	-3.799869737E-2	5.777155956E-2
1.368878208E0	-5.235012174E-3	3.895590484E-2	-7.104250073E-2	8.119116199E-2
1.378852208E0	-1.384591430E-2	5.772897542E-2	-1.098188961E-1	1.248380306E-1
1.388827208E0	-2.570436001E-3	1.170390379E-1	-9.447989523E-2	1.504366782E-1
1.398802208E0	7.715634942E-2	1.182675380E-1	5.759509245E-2	1.525041228E-1
1.408777208E0	8.757024050E-2	1.028870219E-1	2.030188175E-1	2.438666163E-1
1.418751208E0	1.856619608E-1	1.059421921E-1	2.902382433E-1	3.604613012E-1
1.428726208E0	2.819571242E-1	1.512101662E-1	8.104063651E-2	3.300483586E-1
1.438701208E0	3.836290947E-1	2.684480095E-1	-3.500844955E-2	4.695329675E-1
1.448676208E0	3.718682975E-1	2.632317084E-1	-3.718714038E-2	4.571212600E-1
1.458650208E0	2.779187447E-1	2.004203331E-1	1.435372671E-2	3.429477629E-1
1.468625208E0	3.120217529E-1	2.368186659E-1	2.576281389E-2	3.925613040E-1
1.478600208E0	3.880545598E-1	4.227355653E-1	-7.454032341E-2	5.786604872E-1
1.488575208E0	-1.090065351E-2	7.514841557E-3	-3.250519806E-1	3.253215136E-1
1.498549208E0	-1.537577104E0	-1.721537232E0	-2.910767523E-1	2.326490805E0
1.508524208E0	-8.741727734E-1	-6.538454776E0	-1.202666827E-1	6.597729380E0
1.518499208E0	-1.275347718E-1	-1.017249696E1	-2.291973867E-1	1.017587790E1
1.528474208E0	-3.403532669E-1	-9.753228214E0	-1.567521572E-1	9.760423770E0
1.538449208E0	-3.424269819E-1	-9.774600956E0	-1.338696635E-1	9.781513236E0
1.548423208E0	-3.809580500E-1	-9.786806434E0	-1.321587590E-1	9.795109757E0
1.558398208E0	-4.312683706E-1	-9.782361381E0	-1.133967982E-1	9.792519871E0
1.568373208E0	-4.692612755E-1	-9.775480378E0	-9.439744949E-2	9.787192327E0
1.578348208E0	-5.110661997E-1	-9.777838560E0	-7.649210572E-2	9.791484392E0
1.588322208E0	-5.487585577E-1	-9.774475826E0	-5.280737400E-2	9.790010329E0
1.598297208E0	-5.841304117E-1	-9.774231412E0	-4.507267714E-2	9.791774078E0
1.608272208E0	-6.222135466E-1	-9.769311565E0	-2.490563263E-2	9.789137778E0
1.618247208E0	-6.596292948E-1	-9.764344355E0	-3.939858475E-3	9.786600381E0
1.628221208E0	-6.975734852E-1	-9.759346156E0	9.540321627E-3	9.784249443E0
1.638196208E0	-7.455764213E-1	-9.760300421E0	3.033769369E-2	9.788782809E0
1.648171208E0	-7.776464257E-1	-9.759418076E0	4.020780285E-2	9.790433689E0
1.658146208E0	-8.231107932E-1	-9.755065409E0	5.806986809E-2	9.789902176E0
1.668120208E0	-8.499411077E-1	-9.750371849E0	7.297092159E-2	9.787618497E0
1.678095208E0	-8.941953939E-1	-9.743392028E0	8.222354650E-2	9.784683660E0
1.688070208E0	-9.372750476E-1	-9.741015719E0	9.944710493E-2	9.786509157E0
1.698045208E0	-9.684946476E-1	-9.744307702E0	1.009206215E-1	9.792839192E0
1.708020208E0	-1.012269243E0	-9.729570964E0	1.258531125E-1	9.782897279E0
1.717994208E0	-1.054090868E0	-9.733507894E0	1.484444149E-1	9.791543251E0
1.727969208E0	-1.090857429E0	-9.720670917E0	1.570375013E-1	9.782948113E0
1.737944208E0	-1.124986165E0	-9.715424210E0	1.830482554E-1	9.782053370E0
1.747919208E0	-1.165738188E0	-9.711935177E0	2.027861531E-1	9.783749416E0
1.757893208E0	-1.207250861E0	-9.705114985E0	2.244641387E-1	9.782489236E0
1.767868208E0	-1.240719812E0	-9.701394986E0	2.340465009E-1	9.783211543E0
1.777843208E0	-1.282312811E0	-9.695689858E0	2.511215401E-1	9.783342475E0
1.787818208E0	-1.329344744E0	-9.683801883E0	2.644414608E-1	9.778195419E0
1.797792208E0	-1.363752685E0	-9.679360338E0	2.934904281E-1	9.779364733E0
1.807767208E0	-1.402767354E0	-9.684003612E0	2.989435415E-1	9.789639904E0
1.817742208E0	-1.441147747E0	-9.661815183E0	3.195784020E-1	9.773930111E0
1.827717208E0	-1.479131991E0	-9.661880087E0	3.192789881E-1	9.779657322E0
1.837691208E0	-1.513077124E0	-9.655034752E0	3.447261437E-1	9.778953653E0
1.847666208E0	-1.556311290E0	-9.655456336E0	3.733599222E-1	9.787202845E0
1.857641208E0	-1.581040773E0	-9.401980122E0	3.538184909E-1	9.540550701E0
1.867616208E0	4.743552236E0	2.318100579E1	4.324873177E0	2.405337492E1
1.877590208E0	2.348378163E1	7.020651262E1	-1.562607572E0	7.404649996E1
1.887565333E0	2.043578949E1	6.837389232E1	-5.545654861E0	7.157768459E1
1.897540333E0	1.320528985E1	5.723772978E1	3.741408763E0	5.886030521E1
1.907515333E0	5.350985849E0	2.213841449E1	-7.313464180E-1	2.278765704E1
1.917489333E0	1.906839443E0	5.698303442E0	-9.154973122E-1	6.078226230E0
1.927464333E0	8.115030469E-1	-4.230992621E-1	-5.148952123E-1	1.050079645E0
1.937439333E0	-9.412748355E-1	-5.044989359E0	5.690497117E-1	5.163500124E0
1.947414333E0	-2.131637549E0	-8.283776143E0	1.043802692E0	8.617096372E0
1.957388333E0	-2.398426119E0	-9.332489473E0	1.569145929E0	9.762685417E0
1.967363333E0	-2.447742413E0	-9.248705889E0	1.757621570E0	9.727242010E0
1.977338333E0	-2.524856662E0	-9.173165125E0	1.940239616E0	9.710117885E0
1.987313333E0	-2.593307092E0	-9.114766644E0	2.117937669E0	9.710297246E0
1.997288333E0	-2.659418052E0	-9.054339763E0	2.295356956E0	9.711963575E0
2.007262333E0	-2.722103127E0	-8.976175938E0	2.480223111E0	9.702220704E0
2.017237333E0	-2.789108710E0	-8.916068316E0	2.655030301E0	9.712084612E0
2.027212333E0	-2.849801931E0	-8.834174552E0	2.833089127E0	9.705174139E0
2.037187333E0	-2.908105103E0	-8.753613369E0	2.999657298E0	9.699524020E0
2.047161333E0	-2.979809217E0	-8.670084724E0	3.172833991E0	9.701366276E0
2.057136333E0	-3.038726054E0	-8.573929017E0	3.344322594E0	9.691780457E0
2.067111333E0	-3.103707331E0	-8.483238117E0	3.501685200E0	9.688143650E0
2.077086333E0	-3.088620345E0	-8.307253883E0	3.497659392E0	9.528046176E0
2.087060333E0	-2.234043638E0	-6.253595971E0	2.756078081E0	7.189880384E0
2.097035333E0	7.824410695E-1	-1.630127710E-1	5.999067843E-1	9.993374508E-1
2.107010333E0	3.199059631E0	6.169897172E0	-8.472720730E-1	7.001391547E0
2.116985333E0	4.966777003E0	1.219346309E1	1.649404811E0	1.326913532E1
2.126959333E0	5.889093411E0	1.636405281E1	-1.267015618E-1	1.739194350E1
2.136934333E0	4.672852090E0	1.431527030E1	-5.175246028E0	1.592311785E1
2.146909333E0	2.527129768E0	8.264472730E0	-4.360307304E0	9.679885027E0
2.156884333E0	9.098103833E-1	3.892966254E0	-4.622107029E-2	3.998134262E0
2.166858333E0	-3.130570024E-2	1.618275112E0	3.961059419E0	4.278993585E0
2.176833333E0	-1.209578419E-1	4.884720102E-1	6.927731988E0	6.945984898E0
2.186808333E0	-3.167641371E-1	6.832332619E-1	8.622350979E0	8.655176694E0
2.196783333E0	-1.872975001E-1	1.548837818E0	9.481281815E0	9.608781598E0
2.206757333E0	6.659015299E-1	1.110192929E0	9.273958844E0	9.363880917E0
2.216732333E0	-4.110507819E-1	-9.710711939E0	-5.669857907E0	1.125229656E1
2.226707333E0	-2.748384315E0	-8.181430573E0	-1.531172707E1	1.757664383E1
2.236682333E0	-1.894027171E0	-1.880657220E0	-6.401274419E0	6.935454180E0
2.246657333E0	-1.999862066E0	-1.895509586E0	-1.076915504E1	1.111607418E1
2.256631333E0	-8.253835329E-1	-2.039661724E0	-9.352251892E0	9.607606017E0
2.266606333E0	2.901296496E-1	-7.219531585E-1	3.223078823E0	3.315664138E0
2.276581333E0	-1.435015443E-1	-5.633350451E-1	4.689834158E0	4.725725711E0
2.286556333E0	-8.766372286E-1	-1.786575081E0	6.086559731E-1	2.081058732E0
2.296530333E0	-8.546901432E-1	-1.753296092E0	1.532291513E0	2.480415229E0
2.306505333E0	-4.811713229E-1	-1.178749851E0	1.952913310E0	2.331275927E0
2.316480333E0	-5.407754638E-1	-1.329097261E0	-3.290801275E-1	1.472151949E0
2.326455333E0	-8.398893055E-1	-1.427005379E0	-1.157901896E0	2.020518547E0
2.336429333E0	-8.135571007E-1	-1.427448744E0	3.420971990E-2	1.643367085E0
2.346404333E0	-5.887196720E-1	-1.450114452E0	1.104654812E0	1.915642197E0
2.356379333E0	-5.308212005E-1	-1.480153938E0	4.991066337E-2	1.573250743E0
2.366354333E0	-5.343388489E-1	-1.538304936E0	-1.361160468E0	2.122417937E0
2.376328333E0	-4.191712123E-1	-1.526924208E0	-1.393021946E0	2.108959977E0
2.386303333E0	-2.675830967E-1	-1.405501805E0	-9.696624827E-1	1.728375355E0
2.396278333E0	-1.731720707E-1	-1.150197605E0	-4.550197971E-1	1.248994040E0
2.406253333E0	-1.475466846E-1	-7.477825758E-1	2.531446767E-1	8.031382397E-1
2.416227333E0	-2.163444027E-1	-7.122438569E-2	8.353419989E-1	8.658372069E-1
2.426202333E0	-1.685451506E-1	7.018117663E-1	9.877344722E-1	1.223342393E0
2.436177333E0	4.978809111E-2	8.360964359E-1	6.571755838E-1	1.064620051E0
2.446152333E0	1.718661499E-1	4.526722862E-1	1.942164373E-1	5.216993355E-1
2.456127333E0	1.548622640E-1	1.230812217E-1	-3.374533403E-1	3.911598968E-1
2.466101333E0	1.085740147E-1	9.545985203E-2	-7.826825595E-1	7.959226652E-1
2.476076333E0	7.002990003E-2	2.021245407E-1	-8.614761293E-1	8.876371095E-1
2.486051333E0	1.030669791E-1	2.694276008E-1	-7.065681839E-1	7.631858442E-1
2.496026333E0	8.459127598E-2	3.205107771E-1	-4.274033976E-1	5.408849290E-1
2.506000333E0	1.048561083E-1	3.291267590E-1	-6.137529910E-2	3.508363640E-1
2.515975333E0	3.197255692E-2	2.614782015E-1	4.749558789E-1	5.431170971E-1
2.525950333E0	-9.205130903E-2	2.553644259E-1	7.126814479E-1	7.626265663E-1
2.535925333E0	-1.270182525E-1	1.351704862E-1	8.048306429E-1	8.259279997E-1
2.545899333E0	-8.609622139E-2	1.532326085E-1	7.172814524E-1	7.385021825E-1
2.555874333E0	8.080780403E-1	3.664927694E-1	3.363994381E0	3.479046603E0
2.565849333E0	-3.897865782E-1	6.100792585E-1	-3.370830946E0	3.447699457E0
2.575824333E0	-9.207421184E-1	8.135818052E-1	-3.298198003E-1	1.272188077E0
2.585798333E0	4.028698694E-2	8.809996900E-1	2.429290647E0	2.584421897E0
2.595773333E0	7.440612616E-1	1.026142347E0	-4.995966303E-1	1.362421399E0
2.605748333E0	-2.440805057E-1	1.692206502E-1	-3.011985567E0	3.026593461E0
2.615723333E0	-3.953533468E-1	-2.479802696E-1	8.231242418E-2	4.738922009E-1
2.625697333E0	4.543503640E-1	3.108001599E-1	1.674923229E-1	5.753995750E-1
2.635672333E0	3.975847904E-1	4.748289212E-1	-1.069239981E0	1.235641658E0
2.645647333E0	-2.297433887E-1	5.649390460E-1	-3.177692735E-1	6.876884916E-1
2.655622333E0	-6.332519934E-1	6.586368030E-1	-1.951964307E-1	9.342976891E-1
2.665597333E0	-1.176499550E0	8.897620350E-1	-4.152809501E-1	1.532411804E0
2.675571333E0	-2.407326166E0	1.417688425E0	5.224604130E-2	2.794242185E0
2.685546333E0	-3.199003790E0	1.888312833E0	3.866997600E-1	3.734820920E0
2.695521333E0	-2.823462271E0	1.701378372E0	-1.093600066E0	3.473123762E0
2.705496333E0	-1.595735119E0	9.492949495E-1	-3.646504945E-1	1.892221301E0
2.715470333E0	-6.684612217E-1	2.406833830E-1	-1.184061170E-2	7.105695574E-1
2.725445333E0	-1.405592710E-1	-2.496496497E-1	-2.386798346E-1	3.728939792E-1
2.735420333E0	-1.779804736E-1	-3.935813846E-1	2.242880827E-1	4.867119265E-1
2.745395333E0	-1.021600668E0	2.430532596E-1	-7.483383536E-2	1.052778664E0
2.755369333E0	-1.026636217E0	1.617255503E0	-1.121624016E0	2.219805784E0
2.765344333E0	-3.849025086E-1	2.172342795E0	-1.252102879E0	2.536727179E0
2.775319333E0	8.458215981E-1	1.516978386E0	1.971727896E-1	1.748003063E0
2.785294333E0	9.552682458E-1	8.119869040E-1	5.105671763E-2	1.254777646E0
2.795268333E0	-1.595208723E0	1.121381722E0	-8.993660867E-1	2.147334905E0
2.805243333E0	-4.540838040E0	1.340601658E0	-1.151498026E0	4.872614351E0
2.815218333E0	-5.595041029E0	1.019272453E0	-5.328702110E-1	5.712035636E0
2.825193333E0	-5.060288014E0	1.397128007E0	9.635802090E-2	5.250501531E0
2.835167333E0	-3.676086593E0	1.645274045E0	6.203661919E-2	4.027950827E0
2.845142333E0	-2.619379827E0	1.784971190E0	-1.012632501E-1	3.171360445E0
2.855117333E0	-3.330260625E0	2.367033149E0	-1.133295643E-1	4.087337195E0
2.865092333E0	-1.619120327E0	1.193272800E0	1.008223701E-1	2.013855943E0
2.875066333E0	4.561363229E-1	4.647193046E-1	4.783583736E-1	8.079920240E-1
2.885041333E0	1.065724708E0	1.063348326E-1	-6.349725366E-2	1.072897083E0
2.895015958E0	4.458620341E-1	5.236230587E-1	-3.295642769E-1	7.626183015E-1
2.904990958E0	-4.599703422E-1	1.465710876E0	-6.166473627E-2	1.537427601E0
2.914965958E0	-1.131886903E0	2.419117515E0	1.342292672E-1	2.674194273E0
2.924939958E0	-1.914515229E0	2.683413270E0	1.293035728E-1	3.298908116E0
2.934914958E0	-2.337390689E0	2.082867970E0	1.213114230E0	3.357585494E0
2.944889958E0	-2.195185966E0	1.584197685E0	4.801639938E-1	2.749378328E0
2.954864958E0	-2.291067000E0	1.302586131E0	-1.372530963E0	2.971457534E0
2.964838958E0	-2.117797775E0	1.520024639E0	2.148407364E-1	2.615664134E0
2.974813958E0	-1.411872784E0	2.147720024E0	-6.664843512E-1	2.655237739E0
