"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.396620667E0	-3.374651078E-1	2.296511489E0	1.334728714E0	2.677563904E0
1.406595667E0	-1.691564844E0	2.710999264E0	-2.361751915E1	2.383271112E1
1.416570667E0	-4.911088852E-1	6.889385948E0	-5.327383212E1	5.371969858E1
1.426545667E0	1.378438844E0	7.064757979E0	-9.705657606E0	1.208348826E1
1.436520667E0	3.154712447E-1	3.168527225E0	-1.215099360E0	3.408159816E0
1.446495667E0	7.883411659E-2	2.306311423E0	-1.557372560E0	2.784007271E0
1.456470667E0	9.866725082E-2	1.611296167E0	3.127372182E0	3.519441338E0
1.466445667E0	2.218845665E-1	1.225789459E0	5.805355436E0	5.937503204E0
1.476420667E0	3.656085973E-1	1.109442219E0	6.050302316E0	6.162036173E0
1.486395667E0	4.195865473E-1	1.216722254E0	3.839861256E0	4.049814858E0
1.496370667E0	3.465508404E-1	1.426532339E0	-1.515635135E0	2.110033616E0
1.506345667E0	-2.181712191E-2	1.328781219E0	-2.931835443E0	3.218974150E0
1.516320667E0	-3.266585031E-1	8.090088440E-1	-1.110165228E0	1.411973059E0
1.526295667E0	-5.169435650E-1	-2.120403221E-1	-8.959138906E-1	1.055866207E0
1.536270667E0	-2.168245870E-1	-4.437206376E-1	-1.789680684E-1	5.252908482E-1
1.546245667E0	3.301774306E-1	2.018272463E-2	1.661205661E-1	3.701628298E-1
1.556220667E0	4.157561094E-1	5.050222252E-1	3.126330793E-2	6.548877651E-1
1.566195667E0	1.003976886E-1	5.894495873E-1	-3.054222929E-1	6.714263093E-1
1.576170667E0	-7.645757974E-2	2.488137902E-1	-6.144897401E-1	6.673467648E-1
1.586144667E0	-1.396992918E-1	7.939309213E-2	-4.589795315E-1	4.862934974E-1
1.596119667E0	-1.181304482E-1	3.014037209E-1	8.255917668E-2	3.340883467E-1
1.606094667E0	-1.692824480E-1	4.486419466E-1	3.388864928E-1	5.871798689E-1
1.616069667E0	-2.723149194E-1	4.345742036E-1	3.177511472E-1	6.033041896E-1
1.626044667E0	-2.644235537E-1	4.431833881E-1	3.060397589E-1	5.999930543E-1
1.636019667E0	-8.724409377E-2	3.971622926E-1	1.495571584E-1	4.332629250E-1
1.645994667E0	1.152629553E-1	3.462669215E-1	2.483347571E-1	4.414255106E-1
1.655969667E0	3.832162081E-1	6.160103086E-1	4.254699572E0	4.316108411E0
1.665944667E0	-7.856089447E-1	1.177942789E-1	-1.760505416E0	1.931433723E0
1.675919667E0	-2.025757923E0	-1.105608419E0	6.325319088E-1	2.392939981E0
1.685894667E0	-2.907707200E0	-1.347988153E0	-3.685909331E-1	3.226095550E0
1.695869667E0	-2.892171148E0	-9.743954384E-1	-1.157724141E0	3.264111764E0
1.705844667E0	-2.897837393E0	-4.462172525E-1	-4.201399863E-1	2.961940073E0
1.715819667E0	-2.607514365E0	8.321574591E-2	-1.785055536E0	3.161088308E0
1.725794667E0	-2.964812570E0	5.394224547E-2	-1.584384942E0	3.362037922E0
1.735769667E0	-3.607489690E0	-4.456920263E-1	-2.273643029E-1	3.642021111E0
1.745744667E0	-3.631824925E0	-4.194124465E-1	3.049486685E-1	3.668658171E0
1.755715167E0	-3.070404514E0	-4.466766243E-1	9.731754899E-1	3.251764816E0
1.765690167E0	-1.799636445E0	5.224002597E-1	1.336750681E0	2.301846161E0
1.775665167E0	3.902987212E-2	1.796178548E0	2.097431338E0	2.761702179E0
1.785640167E0	2.940141121E0	2.950346559E0	5.951763868E-1	4.207518218E0
1.795615167E0	5.198702134E0	4.183514984E0	-1.384440572E0	6.815055187E0
1.805590167E0	6.476211750E0	4.086895008E0	-9.200032496E-1	7.713004305E0
1.815565167E0	5.885949948E0	5.408624777E0	-1.854730958E-1	7.995750686E0
1.825540167E0	3.179492801E0	4.130942668E0	-1.283082597E0	5.368441371E0
1.835515167E0	-8.097148222E-1	1.453581558E0	-1.468767947E0	2.219418104E0
1.845490167E0	-2.535595074E0	7.561076953E-1	-8.205128753E-1	2.770231507E0
1.855465167E0	-2.452626300E0	1.083718929E0	-6.238125408E-1	2.752991931E0
1.865440167E0	-1.722319005E0	1.382241581E0	-4.873315108E-1	2.261518637E0
1.875415167E0	5.786345041E-1	7.875494163E-1	-3.581934142E-1	1.040843165E0
1.885390167E0	3.093205951E-1	-3.488914443E-1	-3.598633790E-1	5.889873700E-1
1.895365167E0	-2.388457493E0	-1.033319219E0	-1.626874319E0	3.069071172E0
1.905340167E0	-1.057675357E0	-1.485498658E-1	-1.528114847E0	1.864370996E0
1.915315167E0	-4.713787716E-2	1.070193040E-1	-1.486385023E0	1.490978051E0
1.925290167E0	-5.458524185E-1	-4.845582129E-2	-1.955781369E0	2.031104033E0
1.935265167E0	-8.045941962E-1	2.879853294E-1	-1.320459754E0	1.572870412E0
1.945240167E0	-1.818809465E0	4.712598538E-1	-1.173290598E0	2.215121791E0
1.955215167E0	-4.279181864E0	2.216963775E-1	-5.232100260E-1	4.316745932E0
1.965190167E0	-3.247487440E0	-4.963474788E-2	-5.476186430E-1	3.293709832E0
1.975165167E0	-1.373904036E0	1.009495470E0	-2.603116089E0	3.111736939E0
1.985140167E0	-3.438999540E0	1.195413685E0	-4.001259611E0	5.409788369E0
1.995115167E0	-4.891504919E0	1.018317310E0	-4.018873179E0	6.412108245E0
2.005090167E0	-5.153630626E0	1.682178747E0	-3.137494882E0	6.263665708E0
2.015065167E0	-3.798302756E0	2.486836312E0	-1.476096847E0	4.773920880E0
2.025040167E0	-3.809180331E0	2.571966802E0	-1.586330895E0	4.862233410E0
2.035015167E0	-4.899899766E0	2.690089914E0	4.154135064E0	6.964369289E0
2.044990167E0	-5.490482873E0	4.231002269E0	6.530603135E0	9.523421637E0
2.054965167E0	-6.272620472E0	5.360220941E0	4.267947609E0	9.289408642E0
2.064940167E0	-6.627647034E0	5.734323460E0	3.606600621E0	9.477116586E0
2.074915167E0	-7.872108772E0	7.233175331E0	3.200298071E0	1.115933823E1
2.084890167E0	-8.886390772E0	8.786745447E0	4.983556173E0	1.345402054E1
2.094865167E0	-9.285153923E0	1.024336522E1	3.178069296E0	1.418593454E1
2.104840167E0	-9.317068026E0	1.143384078E1	-2.784596852E-1	1.475188162E1
2.114815167E0	-8.764241268E0	1.195537500E1	-3.835237278E0	1.531182423E1
2.124790167E0	-6.935014696E0	1.140982393E1	-7.593794755E0	1.536047622E1
2.134765167E0	-4.597376815E0	9.268790490E0	-8.883568321E0	1.363686683E1
2.144740167E0	-3.336447564E0	5.258091134E0	-7.145071825E0	9.477945774E0
2.154715167E0	-2.477348328E0	1.183424408E0	-5.350215186E0	6.013530627E0
2.164690167E0	-1.587325507E0	-1.335025168E0	-3.668850079E0	4.214540944E0
2.174665167E0	-1.479525070E0	-2.617143559E0	-2.227434822E0	3.741644121E0
2.184640167E0	-1.972441256E0	-2.644899707E0	-1.308877589E0	3.549532295E0
2.194615167E0	-2.160253530E0	-1.264705968E0	-9.999346876E-1	2.695560402E0
2.204590167E0	-2.202434759E0	6.977614000E-1	-1.357633427E0	2.679693707E0
2.214565167E0	-2.367464527E0	2.452119346E0	-2.491720784E0	4.222138089E0
2.224540167E0	-2.051833288E0	3.402015024E0	-4.948222618E0	6.345757098E0
2.234515167E0	-1.302610251E0	3.054555636E0	-7.389635128E0	8.101469677E0
2.244490167E0	-7.766602197E-1	1.798886832E0	-9.070444164E0	9.279663370E0
2.254465167E0	-5.359866308E-1	2.667385760E-1	-9.391018932E0	9.410083300E0
2.264440167E0	-1.008212006E-1	-1.322269759E0	-8.517397551E0	8.620012951E0
2.274415167E0	2.347665855E-1	-1.843807189E0	-7.683995073E0	7.905600584E0
2.284389167E0	3.584103459E-1	-1.208766533E0	-6.356153795E0	6.479989627E0
2.294364167E0	2.012576544E-1	-4.867017657E-1	-4.877264317E0	4.905618256E0
2.304339167E0	6.605321780E-2	2.738139993E-1	-3.592999413E0	3.604023018E0
2.314314167E0	-1.430834135E-1	9.985620537E-1	-2.645172188E0	2.830995398E0
2.324289167E0	-8.247494754E-1	1.567087709E0	-2.378229836E0	2.965122719E0
2.334264167E0	-7.902017865E-1	2.718458265E0	-2.524861048E0	3.793330662E0
2.344239167E0	-1.051113612E0	1.005842130E0	-3.303877988E0	3.610009415E0
2.354214167E0	-8.021979341E-1	-3.913339707E-1	-3.279849440E0	3.399128734E0
2.364189167E0	-6.274115020E-1	-3.565722737E-1	-4.484795694E0	4.542486257E0
2.374164167E0	-7.663163491E-1	-5.035850161E-1	-5.401680039E0	5.478958465E0
2.384139167E0	-3.994159922E-1	-4.734081209E-1	-4.818979856E0	4.858622772E0
2.394114167E0	1.833584502E-2	-1.892907429E-1	-3.897342895E0	3.901980116E0
2.404089167E0	-1.461846305E-1	8.021377078E-1	-2.292179872E0	2.432875544E0
2.414064167E0	-1.040044248E-2	1.508249516E0	-8.400595325E-1	1.726448607E0
2.424039167E0	5.714220732E-2	1.027981442E0	-3.420165074E-1	1.084890026E0
2.434014167E0	1.526174448E-1	1.784611148E-1	-4.311269045E-1	4.909285709E-1
2.443989167E0	3.542488825E-1	-4.524844444E-1	-9.388166660E-1	1.100732109E0
2.453964167E0	6.107649176E-1	-7.509131750E-1	-1.596102178E0	1.866667229E0
2.463939167E0	7.915212107E-1	-1.013113142E0	-1.697094117E0	2.129091944E0
2.473914167E0	7.107653153E-1	-1.249416084E0	-1.144998261E0	1.837729278E0
2.483889167E0	6.005178183E-1	-1.118177083E0	1.204760313E-2	1.269285934E0
2.493864167E0	4.201926843E-1	-1.264354843E0	1.069356925E0	1.708414263E0
2.503839167E0	4.825381096E-1	-8.480667096E-1	1.322550718E0	1.643532955E0
2.513814167E0	7.633687676E-1	-8.724805892E-2	9.202055633E-1	1.198800391E0
2.523789167E0	9.245536260E-1	6.777946204E-2	-2.954013348E-3	9.270394754E-1
2.533764167E0	8.980796993E-1	-2.134695643E-1	-8.702159625E-1	1.268618234E0
2.543739167E0	9.947996628E-1	-1.554178226E-1	-1.435813624E0	1.753665257E0
2.553714167E0	7.574171792E-1	-6.122248212E-1	-1.690907178E0	1.951324447E0
2.563689167E0	3.937124719E-1	-9.949464279E-1	-1.808455508E0	2.101294656E0
2.573664167E0	2.302914190E-1	-8.436631715E-1	-1.936993096E0	2.125263263E0
2.583639167E0	1.741131252E-1	-4.449286723E-1	-1.776558947E0	1.839684374E0
2.593614167E0	4.869458869E-2	3.904390544E-2	-1.172455031E0	1.174115152E0
2.603589167E0	-1.036752997E-1	4.864219764E-1	-4.304708469E-1	6.577689996E-1
2.613564167E0	-1.536566412E-1	7.505427539E-1	2.448182416E-1	8.042765447E-1
2.623539167E0	-1.233796124E-1	7.122265345E-1	4.844500029E-1	8.701614623E-1
2.633514167E0	-8.463376880E-2	5.793877351E-1	2.237741125E-1	6.268395934E-1
2.643489167E0	6.850744039E-2	3.780909044E-1	-2.449579901E-1	4.556867545E-1
2.653464167E0	1.923845047E-1	2.202663678E-1	-6.693108952E-1	7.304150497E-1
2.663439167E0	1.723167144E-1	1.709164524E-1	-1.021560615E0	1.049995987E0
2.673414167E0	2.091272027E-1	1.088386104E-1	-1.304631341E0	1.325761278E0
2.683389167E0	2.666801038E-1	2.168030620E-2	-1.668652090E0	1.689966897E0
2.693364167E0	2.313237815E-1	-4.784104139E-2	-1.910074854E0	1.924626043E0
2.703339167E0	2.794257183E-1	-6.848025084E-2	-1.719905859E0	1.743801721E0
2.713314167E0	2.373826298E-1	-1.020862457E-1	-1.227543404E0	1.254446062E0
2.723289167E0	9.983353280E-2	-1.531078801E-1	-3.435209960E-1	3.891213588E-1
2.733264167E0	4.837006822E-2	-2.589150015E-1	5.775207192E-1	6.347494171E-1
2.743239167E0	5.688302949E-2	-3.024074686E-1	8.569141316E-1	9.104876633E-1
2.753214875E0	7.629351966E-2	-2.789814761E-1	7.279532057E-1	7.833053267E-1
2.763189875E0	4.501449734E-2	-2.404433548E-1	4.308251882E-1	4.954287584E-1
2.773164875E0	-5.107674435E-2	-6.164222449E-2	4.359099269E-3	8.017231068E-2
2.783139875E0	-8.698358204E-2	5.931620210E-2	-1.942906970E-1	2.209828733E-1
2.793114875E0	-9.843539044E-2	6.051225007E-2	-3.822675705E-1	3.993491630E-1
2.803089875E0	-1.180206027E-1	5.079797834E-2	-6.132483763E-1	6.265643369E-1
2.813064875E0	-1.446191847E-1	4.874297440E-2	-7.091953379E-1	7.254299507E-1
2.823039875E0	-1.754775730E-1	-3.871295303E-2	-5.902846062E-1	6.170307834E-1
2.833014875E0	-2.602415885E-1	8.116870880E-2	-3.880212307E-1	4.742093621E-1
2.842989875E0	-4.566399144E-1	2.527906278E-1	-1.418739170E-1	5.408801357E-1
2.852964875E0	-5.457030952E-1	3.241415691E-1	2.195255256E-1	6.716033661E-1
2.862939875E0	-6.611186537E-1	1.627280116E-1	4.883728999E-1	8.378940085E-1
2.872914875E0	-5.811600262E-1	4.675725996E-3	5.969305515E-1	8.331235934E-1
